member_num,first_name,last_name,birth_date,ssn_last4,join_date,member_status,email,phone_num,street,city,state,zip,acct_num,acct_type,acct_open,balance,invest_balance,loan_amt,retire_bal,monthly_contrib,risk_level,yearly_income
MWF-10011,Quinton,Adams,1987-09-25,3317,2014-03-07,active,quinton.adams@outlook.com,4145551111,450 River Rd,Appleton,WI,54911,ACC-881011,savings,2014-03-07,3400.00,18000.00,4500.00,95000.00,300.00,moderate,71000
MWF-10012,Brenda,Carmichael,1963-06-14,7785,2000-12-18,active,brenda.c@icloud.com,4145551212,88 Oak Park Dr,Waukesha,WI,53188,ACC-881012,checking,2000-12-18,37000.00,110000.00,0.00,385000.00,1500.00,conservative,118000
MWF-10013,Tyrone,Washington,1992-03-08,9921,2016-10-25,active,tyrone.w@,4145551313,202 Sunset Blvd,Racine,WI,53403,ACC-881013,savings,2016-10-25,900.00,7500.00,9000.00,15000.00,200.00,aggressive,42000
MWF-10014,Kathleen,Strauss,1978-11-22,5568,2011-02-14,active,kathleen.strauss@gmail.com,4145551414,555 Forest Ave,Brookfield,WI,53045,ACC-881014,IRA,2011-02-14,0.00,45000.00,0.00,168000.00,700.00,moderate,83000
MWF-10015,Raymond,Koonce,1969-07-07,8832,2003-06-30,active,rkoonce@midwestfcu.org,4145551515,1001 Park St,Eau Claire,WI,54701,ACC-881015,checking,2003-06-30,18500.00,52000.00,22000.00,272000.00,850.00,moderate,96000
MWF-10016,Yvonne,Dillard,1984-04-19,2245,2013-09-03,active,yvonne.dillard@yahoo.com,4145551616,77 Garden Blvd,La Crosse,WI,54601,ACC-881016,savings,2013-09-03,2700.00,14000.00,0.00,88000.00,250.00,conservative,58000
MWF-10017,Nathaniel,Fowler,1958-01-30,6603,1997-03-20,active,nfowler@noemail,4145551717,330 Elm Ct,Green Bay,WI,54302,ACC-881017,401k,1997-03-20,5200.00,0.00,0.00,520000.00,0.00,conservative,49000
MWF-10018,Gwendolyn,Price,1994-08-14,1189,2019-05-17,active,gwen.price@gmail.com,4145551818,91 Cherry Lane,Wausau,WI,54401,ACC-881018,savings,2019-05-17,650.00,2000.00,8500.00,4500.00,75.00,aggressive,31000
MWF-10019,Samuel,Horton,1980-12-28,4476,2010-11-09,active,samuel.horton@gmail.com,4145551919,288 Birchwood Ave,Oshkosh,WI,54902,ACC-881019,checking,2010-11-09,11200.00,37000.00,14000.00,155000.00,550.00,moderate,74000
MWF-10020,Carolyn,Mills,1966-05-03,7754,2002-08-24,active,carolyn.mills@hotmail.com,4145552020,441 Maple Grove,Sheboygan,WI,53082,ACC-881020,IRA,2002-08-24,0.00,75000.00,0.00,298000.00,1100.00,moderate,89000
MWF-10021,Jerome,Patterson,1999-02-17,3363,2022-01-10,active,jpatterson99@gmail.com,4145552121,14 Willow Way,Milwaukee,WI,53202,ACC-881021,savings,2022-01-10,400.00,500.00,3500.00,0.00,50.00,aggressive,27000
MWF-10022,Dorothy,Reeves,1952-09-12,8820,1995-07-07,active,dorothy.reeves@aol.com,414555212,20 Brookside Dr,Racine,WI,53404,ACC-881022,401k,1995-07-07,8500.00,0.00,0.00,605000.00,0.00,conservative,41000
MWF-10023,Keith,Summers,1977-06-26,2297,2008-04-15,active,keith.summers@outlook.com,4145552323,567 Vine St,Madison,WI,53704,ACC-881023,checking,2008-04-15,16300.00,58000.00,0.00,198000.00,800.00,moderate,87000
MWF-10024,Adrienne,Clayton,1989-10-05,5574,2015-12-01,active,adrienne.c@icloud.com,4145552424,800 Lake Shore Dr,Waukesha,WI,53189,ACC-881024,savings,2015-12-01,2300.00,9000.00,11000.00,55000.00,175.00,moderate,56000
MWF-10025,Vernon,Hicks,1973-03-22,9941,2005-10-18,active,vhicks@midwestfcu.org,4145552525,123 Jefferson Ave,Janesville,WI,53546,ACC-881025,checking,2005-10-18,24600.00,81000.00,5000.00,312000.00,1050.00,moderate,101000
MWF-10026,Sheila,Barton,1960-08-09,1128,1999-05-29,active,sheila.barton@yahoo.com,4145552626,290 Harrison Blvd,Appleton,WI,54912,ACC-881026,IRA,1999-05-29,0.00,92000.00,0.00,410000.00,1300.00,conservative,97000
MWF-10027,Franklin,Morse,1995-01-14,6665,2020-02-28,active,franklin.m@gmail.com,4145552727,505 Washington St,Kenosha,WI,53141,ACC-881027,savings,2020-02-28,700.00,1500.00,7000.00,5000.00,100.00,aggressive,35000
MWF-10028,Constance,Holt,1982-07-31,4409,2013-08-12,active,constance.holt@email.com,4145552828,77 Adams Ct,Fond du Lac,WI,54936,ACC-881028,checking,2013-08-12,8900.00,26000.00,18000.00,118000.00,400.00,moderate,69000
MWF-10029,Alvin,Garrett,1949-11-19,7776,1993-01-04,active,alvin.garrett@aol.com,4145552929,18 Lincoln Rd,Green Bay,WI,54303,ACC-881029,401k,1993-01-04,12000.00,0.00,0.00,680000.00,0.00,conservative,38000
MWF-10030,Melissa,Watkins,1986-04-27,2253,2014-06-20,active,melissa.w@gmail.com,4145553030,633 Monroe Ave,La Crosse,WI,54602,ACC-881030,savings,2014-06-20,3100.00,11000.00,0.00,72000.00,225.00,moderate,60000
MWF-10031,Reginald,Lawrence,1971-09-14,5580,2007-03-11,active,reginald.l@hotmail.com,4145553131,404 Grant Blvd,Wausau,WI,54402,ACC-881031,checking,2007-03-11,19700.00,64000.00,10000.00,243000.00,875.00,moderate,93000
MWF-10032,Jacqueline,Tate,1993-06-03,8837,2018-09-05,active,jax.tate@gmail.com,4145553232,210 Franklin St,Eau Claire,WI,54702,ACC-881032,savings,2018-09-05,1800.00,4000.00,5500.00,18000.00,125.00,aggressive,38000
MWF-10033,Elroy,Simmons,1956-12-24,3314,1997-11-16,active,esimmons@midwestfcu.org,4145553333,88 Tyler Lane,Milwaukee,WI,53203,ACC-881033,401k,1997-11-16,6800.00,0.00,0.00,532000.00,0.00,conservative,46000
MWF-10034,Norma,Fitzgerald,1981-02-11,6681,2011-07-22,active,norma.fitz@yahoo.com,4145553434,319 Polk Ave,Brookfield,WI,53046,ACC-881034,IRA,2011-07-22,-1200.00,38000.00,0.00,175000.00,650.00,moderate,76000
MWF-10035,Wendell,Sharp,1967-10-08,9918,2004-04-09,active,wendell.sharp@gmail.com,4145553535,721 Jackson Dr,Oshkosh,WI,54903,ACC-881035,checking,2004-04-09,31200.00,99000.00,0.00,342000.00,1200.00,conservative,112000
MWF-10036,Estelle,Cannon,1998-07-19,4495,2021-03-14,active,estelle.cannon@outlook.com,4145553636,8 Van Buren St,Racine,WI,53405,ACC-881036,savings,2021-03-14,550.00,1000.00,4000.00,1500.00,60.00,aggressive,29000
MWF-10037,Harvey,Marsh,1975-04-05,2262,2009-08-28,active,harvey.marsh@icloud.com,4145553737,440 Harrison Ct,Sheboygan,WI,53083,ACC-881037,checking,2009-08-28,13500.00,44000.00,7500.00,182000.00,700.00,moderate,81000
MWF-10038,Loretta,Fleming,1964-01-28,7729,2002-02-19,active,loretta.f@aol.com,4145553838,655 Taylor Rd,Madison,WI,53705,ACC-881038,IRA,2002-02-19,0.00,82000.00,0.00,355000.00,1100.00,conservative,99000
MWF-10039,Darnell,Barber,1991-11-07,5596,2017-07-04,active,darnell.b@gmail.com,4145553939,111 Fillmore Blvd,Waukesha,WI,53190,ACC-881039,savings,2017-07-04,1600.00,6500.00,13000.00,32000.00,175.00,aggressive,44000
MWF-10040,Arlene,Sullivan,1959-08-22,8863,1999-10-31,active,arlene.s@hotmail.com,4145554040,290 Pierce Ave,Janesville,WI,53547,ACC-881040,401k,1999-10-31,9100.00,0.00,0.00,495000.00,0.00,conservative,43000
MWF-10041,Clifton,Poole,1985-05-16,3330,2014-01-07,active,clifton.poole@gmail.com,4145554141,808 Buchanan St,Green Bay,WI,54304,ACC-881041,savings,2014-01-07,4200.00,15000.00,0.00,108000.00,350.00,moderate,64000
MWF-10042,Joanne,Strickland,1970-02-03,6697,2006-09-16,active,joanne.strickland@midwestfcu.org,4145554242,177 Lincoln Park,Appleton,WI,54913,ACC-881042,checking,2006-09-16,21800.00,72000.00,0.00,268000.00,950.00,moderate,98000
MWF-10043,Eugene,Hines,1997-09-21,1164,2021-06-29,active,eugene.hines@yahoo.com,4145554343,53 Johnson Blvd,Kenosha,WI,53142,ACC-881043,savings,2021-06-29,300.00,800.00,6500.00,3000.00,80.00,aggressive,32000
MWF-10044,Mildred,Owens,1953-06-30,4431,1994-04-12,active,mildred.owens@aol.com,414555444,66 Kennedy Dr,La Crosse,WI,54603,ACC-881044,401k,1994-04-12,14500.00,0.00,0.00,590000.00,0.00,conservative,40000
MWF-10045,Clarence,Byrd,1976-11-15,7768,2008-12-03,active,clarence.byrd@outlook.com,4145554545,920 Reagan Blvd,Wausau,WI,54403,ACC-881045,checking,2008-12-03,17400.00,59000.00,12000.00,224000.00,800.00,moderate,86000
MWF-10046,Vivian,Lowe,1988-08-04,2235,2016-04-22,active,vivian.lowe@gmail.com,4145554646,385 Clinton Ave,Eau Claire,WI,54703,ACC-881046,savings,2016-04-22,2900.00,10000.00,0.00,61000.00,200.00,moderate,53000
MWF-10047,Rupert,Parsons,1943-03-17,5502,1990-08-08,active,rupert.parsons@gmail.com,4145554747,741 Obama Dr,Milwaukee,WI,53204,ACC-881047,401k,1990-08-08,18000.00,0.00,0.00,720000.00,0.00,conservative,37000
MWF-10048,Bonnie,Watts,1982-12-28,8869,2012-10-14,active,bonnie.watts@icloud.com,4145554848,112 Bush Ct,Racine,WI,53406,ACC-881048,IRA,2012-10-14,-500.00,48000.00,0.00,192000.00,700.00,moderate,79000
MWF-10049,Lorenzo,Chambers,1994-07-11,3356,2019-01-18,active,lorenzo.c@gmail.com,4145554949,233 Adams Lane,Sheboygan,WI,53084,ACC-881049,savings,2019-01-18,1100.00,4500.00,9000.00,21000.00,150.00,aggressive,41000
MWF-10050,Agnes,Underwood,1960-04-06,6623,2001-06-25,active,agnes.underwood@yahoo.com,4145555050,670 Monroe Pkwy,Fond du Lac,WI,54937,ACC-881050,checking,2001-06-25,26700.00,87000.00,0.00,332000.00,1150.00,conservative,108000
MWF-10051,Otis,Crawford,1979-01-20,9990,2010-08-31,active,otis.crawford@gmail.com,4145555151,58 Jefferson Blvd,Green Bay,WI,54305,ACC-881051,savings,2010-08-31,5800.00,21000.00,6000.00,135000.00,475.00,moderate,72000
MWF-10052,Frances,Robbins,1986-06-09,4467,2015-05-19,active,frances.r@gmail.com,4145555252,191 Washington Ct,Oshkosh,WI,54904,ACC-881052,checking,2015-05-19,10500.00,33000.00,19000.00,88000.00,300.00,moderate,65000
